Varp of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Derivative of Method of Moments Overall Average,Derivative of Method of Moments Overall Standard Deviation,Derivative of Partial Based Spectral Centroid Overall Average,Derivative of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Partial Based Spectral Flux Overall Average,Derivative of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Peak Based Spectral Smoothness Overall Average,Derivative of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Relative Difference Function Overall Average,Derivative of Relative Difference Function Overall Standard Deviation,Derivative of Running Mean of Method of Moments Overall Average,Derivative of Running Mean of Method of Moments Overall Standard Deviation,Derivative of Running Mean of Partial Based Spectral Centroid Overall Average,Derivative of Running Mean of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Running Mean of Partial Based Spectral Flux Overall Average,Derivative of Running Mean of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Running Mean of Peak Based Spectral Smoothness Overall Average,Derivative of Running Mean of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Running Mean of Relative Difference Function Overall Average,Derivative of Running Mean of Relative Difference Function Overall Standard Deviation,Derivative of Standard Deviation of Method of Moments Overall Average,Derivative of Standard Deviation of Method of Moments Overall Standard Deviation,Derivative of Standard Deviation of Partial Based Spectral Centroid Overall Average,Derivative of Standard Deviation of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Standard Deviation of Partial Based Spectral Flux Overall Average,Derivative of Standard Deviation of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Standard Deviation of Peak Based Spectral Smoothness Overall Average,Derivative of Standard Deviation of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Standard Deviation of Relative Difference Function Overall Average,Derivative of Standard Deviation of Relative Difference Function Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Partial Based Spectral Centroid Overall Average,Partial Based Spectral Centroid Overall Standard Deviation,Partial Based Spectral Flux Overall Average,Partial Based Spectral Flux Overall Standard Deviation,Peak Based Spectral Smoothness Overall Average,Peak Based Spectral Smoothness Overall Standard Deviation,Peak Detection Overall Average,Peak Detection Overall Standard Deviation,Relative Difference Function Overall Average,Relative Difference Function Overall Standard Deviation,Running Mean of Method of Moments Overall Average,Running Mean of Method of Moments Overall Standard Deviation,Running Mean of Partial Based Spectral Centroid Overall Average,Running Mean of Partial Based Spectral Centroid Overall Standard Deviation,Running Mean of Partial Based Spectral Flux Overall Average,Running Mean of Partial Based Spectral Flux Overall Standard Deviation,Running Mean of Peak Based Spectral Smoothness Overall Average,Running Mean of Peak Based Spectral Smoothness Overall Standard Deviation,Running Mean of Relative Difference Function Overall Average,Running Mean of Relative Difference Function Overall Standard Deviation,Standard Deviation of Method of Moments Overall Average,Standard Deviation of Method of Moments Overall Standard Deviation,Standard Deviation of Partial Based Spectral Centroid Overall Average,Standard Deviation of Partial Based Spectral Centroid Overall Standard Deviation,Standard Deviation of Partial Based Spectral Flux Overall Average,Standard Deviation of Partial Based Spectral Flux Overall Standard Deviation,Standard Deviation of Peak Based Spectral Smoothness Overall Average,Standard Deviation of Peak Based Spectral Smoothness Overall Standard Deviation,Standard Deviation of Relative Difference Function Overall Average,Standard Deviation of Relative Difference Function Overall Standard Deviation,Grand Total
D:\Baya\Thesis\Data\data\Copy of FEARFUL046G.wav,9103607.791,1.74572E+13,0,0,0,0,0,0,0,0,252358921.7,5279014846,0,0,0,0,0,0,0,0,29639773713,6.21732E+11,0,0,0,0,0,0,0,0,4.58576E+14,2.91842E+13,0,0,0,0,0,0,2.11041E-07,1.2083E-06,0,0,4.16896E+14,1.64817E+12,0,0,0,0,0,0,0,0,4.88419E+16,1.94279E+14,0,0,0,0,0,0,0,0,1.40899E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL048G.wav,764729398.6,1.40477E+13,0,0,0,0,0,0,0,0,901040.7242,4059948575,0,0,0,0,0,0,0,0,90751196.86,4.0544E+11,0,0,0,0,0,0,0,0,6.85249E+14,2.62286E+13,0,0,0,0,0,0,7.53333E-07,7.48341E-06,0,0,6.88195E+14,2.21089E+12,0,0,0,0,0,0,0,0,6.87991E+16,2.2107E+14,0,0,0,0,0,0,0,0,2.5095E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL052G.wav,29733227.06,1.22776E+13,0,0,0,0,0,0,0,0,118951200.4,6017526223,0,0,0,0,0,0,0,0,11877868863,6.00481E+11,0,0,0,0,0,0,0,0,5.53497E+14,3.8031E+13,0,0,0,0,0,0,7.47278E-08,8.71226E-08,0,0,5.44112E+14,8.19967E+12,0,0,0,0,0,0,0,0,5.43929E+16,8.19256E+14,0,0,0,0,0,0,0,0,1.95084E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL055G.wav,235116702,1.0575E+13,0,0,0,0,0,0,0,0,1930129.172,9041621032,0,0,0,0,0,0,0,0,192325652.8,9.04153E+11,0,0,0,0,0,0,0,0,5.43622E+14,3.37631E+13,0,0,0,0,0,0,4.18771E-07,7.00694E-07,0,0,5.35994E+14,8.70956E+12,0,0,0,0,0,0,0,0,5.35625E+16,8.73068E+14,0,0,0,0,0,0,0,0,1.86242E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL057G.wav,4466784.771,8.17172E+12,0,0,0,0,0,0,0,0,61320837.76,2070959571,0,0,0,0,0,0,0,0,6125988098,2.07084E+11,0,0,0,0,0,0,0,0,4.68112E+14,1.12023E+13,0,0,0,0,0,0,7.57679E-07,,0,0,4.6918E+14,2.74654E+12,0,0,0,0,0,0,0,0,4.69008E+16,2.74516E+14,0,0,0,0,0,0,0,0,1.97351E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL058G.wav,6446288.914,2.72238E+13,0,0,0,0,0,0,0,0,820890343.2,21700075084,0,0,0,0,0,0,0,0,82136688650,2.17098E+12,0,0,0,0,0,0,0,0,3.67157E+14,9.69054E+13,0,0,0,0,0,0,5.71935E-07,7.3172E-07,0,0,3.33328E+14,1.88658E+13,0,0,0,0,0,0,0,0,3.32458E+16,1.88647E+15,0,0,0,0,0,0,0,0,1.2156E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL059G.wav,40059082.33,3.62271E+13,0,0,0,0,0,0,0,0,61621799.72,12783436631,0,0,0,0,0,0,0,0,6137460734,1.2801E+12,0,0,0,0,0,0,0,0,4.38998E+14,7.18035E+13,0,0,0,0,0,0,7.45098E-07,3.64493E-06,0,0,4.74529E+14,5.1488E+12,0,0,0,0,0,0,0,0,4.7401E+16,5.14863E+14,0,0,0,0,0,0,0,0,1.85868E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL060G.wav,1615898895,2.09799E+13,0,0,0,0,0,0,0,0,20336996.4,18520234049,0,0,0,0,0,0,0,0,2012139978,1.85308E+12,0,0,0,0,0,0,0,0,3.83385E+14,8.63981E+13,0,0,0,0,0,0,2.96759E-06,2.16535E-05,0,0,3.88203E+14,1.22383E+13,0,0,0,0,0,0,0,0,3.87575E+16,1.22465E+15,0,0,0,0,0,0,0,0,1.55067E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL061G.wav,148913824.4,4.97685E+13,0,0,0,0,0,0,0,0,44767349.39,15709869294,0,0,0,0,0,0,0,0,4476814350,1.57097E+12,0,0,0,0,0,0,0,0,3.93314E+14,8.87451E+13,0,0,0,0,0,0,5.07803E-06,,0,0,3.81364E+14,5.1221E+12,0,0,0,0,0,0,0,0,3.80585E+16,5.12209E+14,0,0,0,0,0,0,0,0,1.67184E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL062G.wav,5249017.149,1.88187E+13,0,0,0,0,0,0,0,0,1815237.608,7016369711,0,0,0,0,0,0,0,0,182727235.8,7.00291E+11,0,0,0,0,0,0,0,0,4.00279E+14,3.10122E+13,0,0,0,0,0,0,2.04753E-06,1.18537E-05,0,0,3.98817E+14,1.08673E+12,0,0,0,0,0,0,0,0,3.98498E+16,1.08339E+14,0,0,0,0,0,0,0,0,1.56195E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL063G.wav,11663247.58,4.75334E+13,0,0,0,0,0,0,0,0,2177998.393,18222537759,0,0,0,0,0,0,0,0,218625906.6,1.8244E+12,0,0,0,0,0,0,0,0,3.26328E+14,1.04868E+14,0,0,0,0,0,0,4.06802E-06,3.73731E-05,0,0,3.14034E+14,1.8579E+13,0,0,0,0,0,0,0,0,3.13044E+16,1.8648E+15,0,0,0,0,0,0,0,0,1.31981E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL067G.wav,1291526560,1.43517E+13,0,0,0,0,0,0,0,0,54917728.11,3322565499,0,0,0,0,0,0,0,0,5485912672,3.31789E+11,0,0,0,0,0,0,0,0,5.151E+14,1.78453E+13,0,0,0,0,0,0,1.55683E-06,1.38078E-06,0,0,5.16719E+14,9.55025E+11,0,0,0,0,0,0,0,0,5.16538E+16,9.54238E+13,0,0,0,0,0,0,0,0,2.11255E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL069G.wav,25976918.72,1.97654E+13,0,0,0,0,0,0,0,0,72524772.27,6656862578,0,0,0,0,0,0,0,0,7266075760,6.65026E+11,0,0,0,0,0,0,0,0,5.46745E+14,4.20299E+13,0,0,0,0,0,0,1.67597E-06,,0,0,5.47292E+14,1.69317E+13,0,0,0,0,0,0,0,0,5.47105E+16,1.69318E+15,0,0,0,0,0,0,0,0,2.50487E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL070G.wav,292639208.1,2.69184E+13,0,0,0,0,0,0,0,0,5629697.397,8764293486,0,0,0,0,0,0,0,0,638947044.6,1.03539E+12,0,0,0,0,0,0,0,0,3.24432E+14,3.92193E+13,0,0,0,0,0,0,2.14542E-07,,0,0,3.53322E+14,9.41724E+11,0,0,0,0,0,0,0,0,4.14163E+16,1.11527E+14,0,0,0,0,0,0,0,0,1.57358E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL073G.wav,173433094.1,2.57575E+13,0,0,0,0,0,0,0,0,565558.8122,13828855802,0,0,0,0,0,0,0,0,56873031.38,1.38475E+12,0,0,0,0,0,0,0,0,3.77975E+14,6.54921E+13,0,0,0,0,0,0,3.22954E-06,2.05718E-05,0,0,3.74833E+14,7.62183E+12,0,0,0,0,0,0,0,0,3.74215E+16,7.65491E+14,0,0,0,0,0,0,0,0,1.43872E+15
D:\Baya\Thesis\Data\data\Copy of FEARFUL080G.wav,210232022,1.94433E+13,0,0,0,0,0,0,0,0,463388807.3,5569120663,0,0,0,0,0,0,0,0,46305289950,5.58058E+11,0,0,0,0,0,0,0,0,4.58259E+14,3.72375E+13,0,0,0,0,0,0,3.45051E-07,3.41903E-07,0,0,4.31841E+14,1.2141E+12,0,0,0,0,0,0,0,0,4.31348E+16,1.21492E+14,0,0,0,0,0,0,0,0,1.41369E+15
D:\Baya\Thesis\Data\data\Copy of LOVE001F.wav,19300598.41,2.18291E+13,0,0,0,0,0,0,0,0,236481820,9202732363,0,0,0,0,0,0,0,0,23635971990,9.21015E+11,0,0,0,0,0,0,0,0,5.0575E+14,4.52121E+13,0,0,0,0,0,0,5.73294E-07,,0,0,5.16043E+14,1.37937E+13,0,0,0,0,0,0,0,0,5.15864E+16,1.37728E+15,0,0,0,0,0,0,0,0,2.22775E+15
D:\Baya\Thesis\Data\data\Copy of LOVE001G.wav,479105.2658,2.40195E+13,0,0,0,0,0,0,0,0,1718942043,3783769531,0,0,0,0,0,0,0,0,1.72889E+11,3.65223E+11,0,0,0,0,0,0,0,0,1.58517E+13,1.96219E+13,0,0,0,0,0,0,7.94024E-06,0,0,0,1.2394E+13,1.1665E+12,0,0,0,0,0,0,0,0,1.21979E+15,1.16736E+14,0,0,0,0,0,0,0,0,7.82485E+13
D:\Baya\Thesis\Data\data\Copy of LOVE002E.wav,1363496340,1.95163E+13,0,0,0,0,0,0,0,0,147276095.3,3844213939,0,0,0,0,0,0,0,0,14691667666,3.83864E+11,0,0,0,0,0,0,0,0,5.18553E+14,2.3903E+13,0,0,0,0,0,0,3.3343E-07,8.65996E-07,0,0,4.96759E+14,1.31682E+12,0,0,0,0,0,0,0,0,4.96589E+16,1.31483E+14,0,0,0,0,0,0,0,0,1.7321E+15
D:\Baya\Thesis\Data\data\Copy of LOVE002F.wav,178820.9661,8.72568E+12,0,0,0,0,0,0,0,0,28406041.91,3904659916,0,0,0,0,0,0,0,0,2866762258,3.89449E+11,0,0,0,0,0,0,0,0,2.94116E+14,2.16426E+13,0,0,0,0,0,0,5.30829E-07,4.91576E-07,0,0,2.7545E+14,4.82452E+12,0,0,0,0,0,0,0,0,2.75318E+16,4.82263E+14,0,0,0,0,0,0,0,0,9.49031E+14
D:\Baya\Thesis\Data\data\Copy of LOVE003G.wav,7628337.481,7.82934E+12,0,0,0,0,0,0,0,0,2157562287,2196819863,0,0,0,0,0,0,0,0,2.1539E+11,2.18927E+11,0,0,0,0,0,0,0,0,1.36021E+14,1.43682E+13,0,0,0,0,0,0,3.73344E-06,2.67751E-06,0,0,1.23226E+14,6.45784E+11,0,0,0,0,0,0,0,0,1.23138E+16,6.44487E+13,0,0,0,0,0,0,0,0,4.46298E+14
D:\Baya\Thesis\Data\data\Copy of LOVE004E.wav,220448777.5,1.16921E+13,0,0,0,0,0,0,0,0,11965186.04,2993123043,0,0,0,0,0,0,0,0,1197628304,2.99676E+11,0,0,0,0,0,0,0,0,4.43945E+14,1.71221E+13,0,0,0,0,0,0,8.78869E-07,,0,0,4.53762E+14,7.94193E+11,0,0,0,0,0,0,0,0,4.53599E+16,7.95387E+13,0,0,0,0,0,0,0,0,1.81774E+15
D:\Baya\Thesis\Data\data\Copy of LOVE004G.wav,1578408385,3.14735E+13,0,0,0,0,0,0,0,0,144087629.2,7131208091,0,0,0,0,0,0,0,0,14343113745,7.11669E+11,0,0,0,0,0,0,0,0,4.30322E+14,3.38199E+13,0,0,0,0,0,0,2.13552E-07,1.02148E-06,0,0,4.09011E+14,2.88644E+11,0,0,0,0,0,0,0,0,4.08696E+16,2.87263E+13,0,0,0,0,0,0,0,0,1.74778E+15
D:\Baya\Thesis\Data\data\Copy of LOVE005E.wav,33013557.31,1.53059E+13,0,0,0,0,0,0,0,0,517650.8238,5553828477,0,0,0,0,0,0,0,0,57044655.91,5.54694E+11,0,0,0,0,0,0,0,0,5.14156E+14,3.1501E+13,0,0,0,0,0,0,8.42781E-07,,0,0,5.04608E+14,3.17261E+12,0,0,0,0,0,0,0,0,5.04434E+16,3.17372E+14,0,0,0,0,0,0,0,0,2.04341E+15
D:\Baya\Thesis\Data\data\Copy of LOVE005F.wav,460285807.8,1.61675E+13,0,0,0,0,0,0,0,0,3267039640,5465442708,0,0,0,0,0,0,0,0,3.26706E+11,5.46515E+11,0,0,0,0,0,0,0,0,7.44736E+14,5.58419E+13,0,0,0,0,0,0,1.01885E-07,3.14062E-07,0,0,7.34739E+14,9.05019E+12,0,0,0,0,0,0,0,0,7.34312E+16,9.05012E+14,0,0,0,0,0,0,0,0,2.58362E+15
D:\Baya\Thesis\Data\data\Copy of LOVE005G.wav,59244329.92,2.22376E+13,0,0,0,0,0,0,0,0,189995435.1,9056674650,0,0,0,0,0,0,0,0,19032853655,9.04109E+11,0,0,0,0,0,0,0,0,4.71433E+14,4.90563E+13,0,0,0,0,0,0,7.16076E-07,1.92793E-06,0,0,4.85947E+14,1.38988E+13,0,0,0,0,0,0,0,0,4.85597E+16,1.39044E+15,0,0,0,0,0,0,0,0,1.9714E+15
D:\Baya\Thesis\Data\data\Copy of LOVE006E.wav,1591233069,2.43693E+13,0,0,0,0,0,0,0,0,568151841.8,6936152311,0,0,0,0,0,0,0,0,56875686034,6.93552E+11,0,0,0,0,0,0,0,0,5.11312E+14,4.21867E+13,0,0,0,0,0,0,6.36748E-07,6.5552E-07,0,0,5.14862E+14,9.84708E+12,0,0,0,0,0,0,0,0,5.14504E+16,9.85941E+14,0,0,0,0,0,0,0,0,1.80246E+15
D:\Baya\Thesis\Data\data\Copy of LOVE006F.wav,399282546.3,4.20658E+13,0,0,0,0,0,0,0,0,4919274.025,16089980491,0,0,0,0,0,0,0,0,495098304.6,1.60995E+12,0,0,0,0,0,0,0,0,4.1056E+14,7.57869E+13,0,0,0,0,0,0,2.75103E-07,1.0393E-06,0,0,3.99097E+14,1.22941E+13,0,0,0,0,0,0,0,0,3.98303E+16,1.23303E+15,0,0,0,0,0,0,0,0,1.49349E+15
D:\Baya\Thesis\Data\data\Copy of LOVE006G.wav,125240581.7,1.93023E+13,0,0,0,0,0,0,0,0,26449500.94,9917339553,0,0,0,0,0,0,0,0,3095959226,1.17179E+12,0,0,0,0,0,0,0,0,4.83315E+14,4.61647E+13,0,0,0,0,0,0,5.76141E-07,7.69355E-07,0,0,4.92566E+14,5.72398E+12,0,0,0,0,0,0,0,0,5.77308E+16,6.75405E+14,0,0,0,0,0,0,0,0,2.12261E+15
D:\Baya\Thesis\Data\data\Copy of LOVE007E.wav,1400866936,9.8193E+12,0,0,0,0,0,0,0,0,395089346.4,3792978252,0,0,0,0,0,0,0,0,39430635589,3.79278E+11,0,0,0,0,0,0,0,0,6.30042E+14,2.83964E+13,0,0,0,0,0,0,1.24331E-06,,0,0,6.3103E+14,5.40497E+12,0,0,0,0,0,0,0,0,6.30831E+16,5.40291E+14,0,0,0,0,0,0,0,0,3.15824E+15
D:\Baya\Thesis\Data\data\Copy of LOVE007F.wav,3185746.5,1.55886E+13,0,0,0,0,0,0,0,0,42443173.05,4291785761,0,0,0,0,0,0,0,0,4249214401,4.28642E+11,0,0,0,0,0,0,0,0,3.37135E+14,2.265E+13,0,0,0,0,0,0,2.60493E-07,6.48772E-07,0,0,3.27473E+14,2.16007E+12,0,0,0,0,0,0,0,0,3.27329E+16,2.16002E+14,0,0,0,0,0,0,0,0,1.17251E+15
D:\Baya\Thesis\Data\data\Copy of LOVE007G.wav,338033799.9,2.31628E+13,0,0,0,0,0,0,0,0,55393185.65,8790649712,0,0,0,0,0,0,0,0,5533109928,8.79769E+11,0,0,0,0,0,0,0,0,5.41003E+14,4.43133E+13,0,0,0,0,0,0,2.98757E-06,1.80233E-05,0,0,5.26031E+14,2.08051E+12,0,0,0,0,0,0,0,0,5.25669E+16,2.0758E+14,0,0,0,0,0,0,0,0,2.1814E+15
D:\Baya\Thesis\Data\data\Copy of LOVE008E.wav,10547733.3,1.98885E+13,0,0,0,0,0,0,0,0,1088643.402,6492569919,0,0,0,0,0,0,0,0,108007231.3,6.49214E+11,0,0,0,0,0,0,0,0,4.60191E+14,3.46867E+13,0,0,0,0,0,0,4.69677E-07,1.3754E-06,0,0,4.57962E+14,1.06743E+13,0,0,0,0,0,0,0,0,4.57795E+16,1.06845E+15,0,0,0,0,0,0,0,0,1.81555E+15
D:\Baya\Thesis\Data\data\Copy of LOVE008G.wav,565424017.2,3.15228E+13,0,0,0,0,0,0,0,0,41193871.49,15221690106,0,0,0,0,0,0,0,0,4059098552,1.52209E+12,0,0,0,0,0,0,0,0,6.23413E+14,5.43043E+13,0,0,0,0,0,0,1.66834E-06,5.5999E-07,0,0,6.12335E+14,8.9539E+11,0,0,0,0,0,0,0,0,6.11746E+16,8.9455E+13,0,0,0,0,0,0,0,0,2.09925E+15
D:\Baya\Thesis\Data\data\Copy of LOVE009E.wav,19294491.61,1.93612E+13,0,0,0,0,0,0,0,0,19133535.87,3840745599,0,0,0,0,0,0,0,0,1909914230,3.8349E+11,0,0,0,0,0,0,0,0,4.03303E+14,2.14276E+13,0,0,0,0,0,0,1.65453E-07,3.25184E-07,0,0,4.09578E+14,2.35366E+12,0,0,0,0,0,0,0,0,4.09422E+16,2.35095E+14,0,0,0,0,0,0,0,0,1.4087E+15
D:\Baya\Thesis\Data\data\Copy of LOVE010E.wav,1143656.918,1.16765E+13,0,0,0,0,0,0,0,0,18158751.77,3831692289,0,0,0,0,0,0,0,0,1812511354,3.83142E+11,0,0,0,0,0,0,0,0,3.34007E+14,1.9546E+13,0,0,0,0,0,0,2.92788E-07,2.31467E-06,0,0,3.19322E+14,1.23582E+12,0,0,0,0,0,0,0,0,3.19181E+16,1.23398E+14,0,0,0,0,0,0,0,0,1.14635E+15
D:\Baya\Thesis\Data\data\Copy of LOVE010G.wav,433288781.6,3.35714E+13,0,0,0,0,0,0,0,0,106177131.5,8264380738,0,0,0,0,0,0,0,0,10617672830,8.26438E+11,0,0,0,0,0,0,0,0,5.41158E+14,4.43837E+13,0,0,0,0,0,0,3.48996E-06,,0,0,5.52367E+14,5.22131E+12,0,0,0,0,0,0,0,0,5.51992E+16,5.22131E+14,0,0,0,0,0,0,0,0,3.0262E+15
D:\Baya\Thesis\Data\data\Copy of LOVE011E.wav,28024446.75,8.43172E+12,0,0,0,0,0,0,0,0,72221237.66,2729601952,0,0,0,0,0,0,0,0,7222156756,2.72953E+11,0,0,0,0,0,0,0,0,4.42822E+14,1.45095E+13,0,0,0,0,0,0,6.29027E-07,,0,0,4.28335E+14,2.10279E+12,0,0,0,0,0,0,0,0,4.28336E+16,2.10391E+14,0,0,0,0,0,0,0,0,1.88828E+15
D:\Baya\Thesis\Data\data\Copy of LOVE011G.wav,1009225775,1.06208E+13,0,0,0,0,0,0,0,0,150016516.6,5452853552,0,0,0,0,0,0,0,0,14992081551,5.45275E+11,0,0,0,0,0,0,0,0,8.17853E+14,2.71082E+13,0,0,0,0,0,0,5.85033E-07,6.26766E-07,0,0,8.34327E+14,1.14925E+13,0,0,0,0,0,0,0,0,8.34097E+16,1.14924E+15,0,0,0,0,0,0,0,0,3.27891E+15
D:\Baya\Thesis\Data\data\Copy of LOVE012G.wav,13540132.73,1.75159E+13,0,0,0,0,0,0,0,0,258632553.6,6021829027,0,0,0,0,0,0,0,0,25850424291,6.02181E+11,0,0,0,0,0,0,0,0,2.92679E+14,2.99826E+13,0,0,0,0,0,0,1.68624E-06,2.48095E-07,0,0,3.01781E+14,1.97879E+12,0,0,0,0,0,0,0,0,3.01504E+16,1.97767E+14,0,0,0,0,0,0,0,0,1.25479E+15
D:\Baya\Thesis\Data\data\Copy of LOVE013E.wav,498817785.8,1.35122E+13,0,0,0,0,0,0,0,0,3586777.505,4913772191,0,0,0,0,0,0,0,0,359931697.8,4.91364E+11,0,0,0,0,0,0,0,0,3.75361E+14,2.57628E+13,0,0,0,0,0,0,1.26417E-06,5.28269E-06,0,0,3.74721E+14,2.99493E+11,0,0,0,0,0,0,0,0,3.74567E+16,2.99046E+13,0,0,0,0,0,0,0,0,1.58131E+15
D:\Baya\Thesis\Data\data\Copy of LOVE014E.wav,875693383.8,6.25064E+13,0,0,0,0,0,0,0,0,156880719.3,20661437161,0,0,0,0,0,0,0,0,15727692562,2.06954E+12,0,0,0,0,0,0,0,0,5.65066E+14,9.92732E+13,0,0,0,0,0,0,9.50357E-07,4.41707E-06,0,0,5.9043E+14,1.75179E+13,0,0,0,0,0,0,0,0,5.89463E+16,1.75846E+15,0,0,0,0,0,0,0,0,2.44244E+15
D:\Baya\Thesis\Data\data\Copy of LOVE016E.wav,259236344.6,5.55746E+13,0,0,0,0,0,0,0,0,67107455.13,24516469160,0,0,0,0,0,0,0,0,6776611649,2.45787E+12,0,0,0,0,0,0,0,0,4.9791E+14,1.28735E+14,0,0,0,0,0,0,1.48841E-06,3.93018E-06,0,0,4.44825E+14,1.25196E+13,0,0,0,0,0,0,0,0,4.4348E+16,1.25762E+15,0,0,0,0,0,0,0,0,1.81737E+15
D:\Baya\Thesis\Data\data\Copy of LOVE016G.wav,1830288203,2.56041E+13,0,0,0,0,0,0,0,0,79707067.59,6294016101,0,0,0,0,0,0,0,0,9289931490,7.44707E+11,0,0,0,0,0,0,0,0,5.98227E+14,3.09805E+13,0,0,0,0,0,0,3.85925E-07,,0,0,6.04529E+14,3.6261E+12,0,0,0,0,0,0,0,0,7.08441E+16,4.28033E+14,0,0,0,0,0,0,0,0,2.71834E+15
D:\Baya\Thesis\Data\data\Copy of LOVE017E.wav,205685005.7,4.15477E+13,0,0,0,0,0,0,0,0,35857845.56,30121328538,0,0,0,0,0,0,0,0,3604974973,3.01906E+12,0,0,0,0,0,0,0,0,3.38338E+14,1.30739E+14,0,0,0,0,0,0,2.60068E-06,3.09787E-06,0,0,2.98149E+14,1.6037E+13,0,0,0,0,0,0,0,0,2.96771E+16,1.60691E+15,0,0,0,0,0,0,0,0,1.42321E+15
D:\Baya\Thesis\Data\data\Copy of LOVE018E.wav,378964099.4,3.46143E+13,0,0,0,0,0,0,0,0,167741828.2,21412762991,0,0,0,0,0,0,0,0,16722316162,2.14594E+12,0,0,0,0,0,0,0,0,4.04574E+14,8.47228E+13,0,0,0,0,0,0,1.45085E-06,,0,0,4.07448E+14,6.0259E+12,0,0,0,0,0,0,0,0,4.06642E+16,6.06318E+14,0,0,0,0,0,0,0,0,2.15074E+15
D:\Baya\Thesis\Data\data\Copy of LOVE018G.wav,240857021.8,1.60918E+13,0,0,0,0,0,0,0,0,442981123.2,9087422764,0,0,0,0,0,0,0,0,44434320381,9.07938E+11,0,0,0,0,0,0,0,0,4.44516E+14,3.72395E+13,0,0,0,0,0,0,5.92029E-07,,0,0,4.33189E+14,8.88516E+12,0,0,0,0,0,0,0,0,4.3286E+16,8.89436E+14,0,0,0,0,0,0,0,0,1.89656E+15
D:\Baya\Thesis\Data\data\Copy of LOVE019E.wav,116477466.1,4.95707E+13,0,0,0,0,0,0,0,0,453913.3461,15564606493,0,0,0,0,0,0,0,0,45006834.43,1.5594E+12,0,0,0,0,0,0,0,0,4.70486E+14,7.42772E+13,0,0,0,0,0,0,1.43426E-06,0,0,0,4.67698E+14,3.47371E+12,0,0,0,0,0,0,0,0,4.6701E+16,3.47498E+14,0,0,0,0,0,0,0,0,2.18635E+15
D:\Baya\Thesis\Data\data\Copy of LOVE019G.wav,4753427.711,1.28304E+13,0,0,0,0,0,0,0,0,5442893.48,3997773761,0,0,0,0,0,0,0,0,542475051,3.98731E+11,0,0,0,0,0,0,0,0,2.90063E+14,1.9062E+13,0,0,0,0,0,0,3.70721E-07,0,0,0,2.96226E+14,2.26314E+12,0,0,0,0,0,0,0,0,2.96092E+16,2.25814E+14,0,0,0,0,0,0,0,0,1.17105E+15
D:\Baya\Thesis\Data\data\Copy of LOVE021E.wav,4351057.803,1.00464E+13,0,0,0,0,0,0,0,0,380480872.8,16427208555,0,0,0,0,0,0,0,0,38032600080,1.64067E+12,0,0,0,0,0,0,0,0,3.56745E+14,6.79315E+13,0,0,0,0,0,0,7.65111E-06,1.47663E-05,0,0,4.17386E+14,3.58876E+13,0,0,0,0,0,0,0,0,4.16896E+16,3.58397E+15,0,0,0,0,0,0,0,0,1.93731E+15
D:\Baya\Thesis\Data\data\Copy of LOVE026G.wav,2172471.912,3.54751E+13,0,0,0,0,0,0,0,0,2875852.005,10540907437,0,0,0,0,0,0,0,0,289895076.4,1.05324E+12,0,0,0,0,0,0,0,0,4.85039E+14,5.92632E+13,0,0,0,0,0,0,7.08643E-07,4.36972E-06,0,0,4.89103E+14,6.46665E+12,0,0,0,0,0,0,0,0,4.88575E+16,6.46862E+14,0,0,0,0,0,0,0,0,1.65958E+15
D:\Baya\Thesis\Data\data\Copy of LOVE027G.wav,939362.9708,2.77192E+13,0,0,0,0,0,0,0,0,23322810.88,8269087881,0,0,0,0,0,0,0,0,2717779246,9.74637E+11,0,0,0,0,0,0,0,0,3.89854E+14,4.48355E+13,0,0,0,0,0,0,7.55067E-07,2.01691E-06,0,0,3.91574E+14,4.02925E+12,0,0,0,0,0,0,0,0,4.59211E+16,4.76431E+14,0,0,0,0,0,0,0,0,1.27791E+15
